"date","FCmean","FCH4mean","LEmean"
20210101,NA,NA,NA
20210102,NA,NA,NA
20210103,NA,NA,NA
20210104,NA,NA,NA
20210105,NA,NA,NA
20210106,NA,NA,NA
20210107,NA,NA,NA
20210108,NA,NA,NA
20210109,NA,NA,NA
20210110,NA,NA,NA
20210111,NA,NA,NA
20210112,NA,NA,NA
20210113,NA,NA,NA
20210114,NA,NA,NA
20210115,NA,NA,NA
20210116,NA,NA,NA
20210117,NA,NA,NA
20210118,NA,NA,NA
20210119,NA,NA,NA
20210120,NA,NA,NA
20210121,NA,NA,NA
20210122,NA,NA,NA
20210123,NA,NA,NA
20210124,NA,NA,NA
20210125,NA,NA,NA
20210126,NA,NA,NA
20210127,NA,NA,NA
20210128,NA,NA,NA
20210129,NA,NA,NA
20210130,NA,NA,NA
20210131,NA,NA,NA
20210201,NA,NA,NA
20210202,NA,NA,NA
20210203,NA,NA,NA
20210204,NA,NA,NA
20210205,NA,NA,NA
20210206,NA,NA,NA
20210207,NA,NA,NA
20210208,NA,NA,NA
20210209,NA,NA,NA
20210210,NA,NA,NA
20210211,NA,NA,NA
20210212,NA,NA,NA
20210213,NA,NA,NA
20210214,NA,NA,NA
20210215,NA,NA,NA
20210216,NA,NA,NA
20210217,NA,NA,NA
20210218,NA,NA,NA
20210219,NA,NA,NA
20210220,NA,NA,NA
20210221,NA,NA,NA
20210222,NA,NA,NA
20210223,NA,NA,NA
20210224,NA,NA,NA
20210225,NA,NA,NA
20210226,NA,NA,NA
20210227,NA,NA,NA
20210228,NA,NA,NA
20210301,NA,NA,NA
20210302,NA,NA,NA
20210303,NA,NA,NA
20210304,NA,NA,NA
20210305,NA,NA,NA
20210306,NA,NA,NA
20210307,NA,NA,NA
20210308,NA,NA,NA
20210309,NA,NA,NA
20210310,NA,NA,NA
20210311,NA,NA,NA
20210312,NA,NA,NA
20210313,NA,NA,NA
20210314,NA,NA,NA
20210315,NA,NA,NA
20210316,NA,NA,NA
20210317,NA,NA,NA
20210318,NA,NA,NA
20210319,NA,NA,NA
20210320,NA,NA,NA
20210321,NA,NA,NA
20210322,NA,NA,NA
20210323,NA,NA,NA
20210324,NA,NA,NA
20210325,NA,NA,NA
20210326,NA,NA,NA
20210327,NA,NA,NA
20210328,NA,NA,NA
20210329,NA,NA,NA
20210330,NA,NA,NA
20210331,NA,NA,NA
20210401,NA,NA,NA
20210402,NA,NA,NA
20210403,NA,NA,NA
20210404,NA,NA,NA
20210405,NA,NA,NA
20210406,NA,NA,NA
20210407,NA,NA,NA
20210408,NA,NA,NA
20210409,NA,NA,NA
20210410,NA,NA,NA
20210411,NA,NA,NA
20210412,NA,NA,NA
20210413,NA,NA,NA
20210414,NA,NA,NA
20210415,NA,NA,NA
20210416,NA,NA,NA
20210417,NA,NA,NA
20210418,NA,NA,NA
20210419,NA,NA,NA
20210420,NA,NA,NA
20210421,NA,NA,NA
20210422,NA,NA,NA
20210423,NA,NA,NA
20210424,NA,NA,NA
20210425,NA,NA,NA
20210426,NA,NA,NA
20210427,NA,NA,NA
20210428,NA,NA,NA
20210429,NA,NA,NA
20210430,NA,NA,NA
20210501,NA,NA,NA
20210502,NA,NA,NA
20210503,NA,NA,NA
20210504,NA,NA,NA
20210505,NA,NA,NA
20210506,NA,NA,NA
20210507,NA,NA,NA
20210508,NA,NA,NA
20210509,NA,NA,NA
20210510,NA,NA,NA
20210511,NA,NA,NA
20210512,NA,NA,NA
20210513,NA,NA,NA
20210514,NA,NA,NA
20210515,NA,NA,NA
20210516,NA,NA,NA
20210517,NA,NA,NA
20210518,NA,NA,NA
20210519,NA,NA,NA
20210520,NA,NA,NA
20210521,NA,NA,NA
20210522,NA,NA,NA
20210523,NA,NA,NA
20210524,NA,NA,NA
20210525,NA,NA,NA
20210526,NA,NA,NA
20210527,NA,NA,NA
20210528,NA,253.787078947368,NA
20210529,NA,255.65312,NA
20210530,NA,NA,NA
20210531,NA,174.896835555556,NA
20210601,NA,142.131140540541,NA
20210602,NA,195.499586206897,NA
20210603,NA,NA,NA
20210604,NA,NA,NA
20210605,NA,NA,NA
20210606,NA,NA,NA
20210607,NA,NA,NA
20210608,NA,NA,NA
20210609,NA,NA,NA
20210610,NA,NA,NA
20210611,NA,NA,NA
20210612,NA,NA,NA
20210613,NA,NA,NA
20210614,NA,NA,NA
20210615,NA,NA,NA
20210616,NA,235.207903225806,NA
20210617,NA,241.281808510638,NA
20210618,NA,NA,NA
20210619,NA,253.15875,NA
20210620,NA,290.890505,NA
20210621,NA,205.28135483871,NA
20210622,NA,280.263127272727,NA
20210623,NA,236.776817647059,NA
20210624,NA,185.511371428571,NA
20210625,NA,234.073386842105,NA
20210626,NA,213.371916666667,NA
20210627,NA,209.493857142857,NA
20210628,NA,222.199846153846,NA
20210629,NA,237.005111111111,NA
20210630,NA,249.43316969697,NA
20210701,NA,323.872709677419,NA
20210702,NA,291.335,NA
20210703,NA,303.75567037037,NA
20210704,NA,291.294242424242,NA
20210705,NA,228.354476315789,NA
20210706,NA,209.71843,NA
