"date","FCmean","FCH4mean"
20190101,NA,NA
20190102,NA,NA
20190103,NA,NA
20190104,NA,NA
20190105,NA,NA
20190106,NA,NA
20190107,NA,NA
20190108,NA,NA
20190109,NA,NA
20190110,NA,NA
20190111,NA,NA
20190112,NA,NA
20190113,NA,NA
20190114,NA,NA
20190115,NA,NA
20190116,NA,NA
20190117,NA,NA
20190118,NA,NA
20190119,NA,NA
20190120,NA,NA
20190121,NA,NA
20190122,NA,NA
20190123,NA,NA
20190124,NA,NA
20190125,NA,NA
20190126,NA,NA
20190127,NA,NA
20190128,NA,NA
20190129,NA,NA
20190130,NA,NA
20190131,NA,NA
20190201,NA,NA
20190202,NA,NA
20190203,NA,NA
20190204,NA,NA
20190205,NA,NA
20190206,NA,NA
20190207,NA,NA
20190208,NA,NA
20190209,NA,NA
20190210,NA,NA
20190211,NA,NA
20190212,NA,NA
20190213,NA,NA
20190214,NA,NA
20190215,NA,NA
20190216,NA,NA
20190217,NA,NA
20190218,NA,NA
20190219,NA,NA
20190220,NA,NA
20190221,NA,NA
20190222,NA,NA
20190223,NA,NA
20190224,NA,NA
20190225,NA,NA
20190226,NA,NA
20190227,NA,NA
20190228,NA,NA
20190301,NA,NA
20190302,NA,NA
20190303,NA,NA
20190304,NA,NA
20190305,NA,NA
20190306,NA,NA
20190307,NA,NA
20190308,NA,NA
20190309,NA,NA
20190310,NA,NA
20190311,NA,NA
20190312,NA,NA
20190313,NA,NA
20190314,NA,NA
20190315,NA,NA
20190316,NA,NA
20190317,NA,NA
20190318,NA,NA
20190319,NA,NA
20190320,NA,NA
20190321,NA,NA
20190322,NA,NA
20190323,NA,NA
20190324,NA,NA
20190325,NA,NA
20190326,NA,NA
20190327,NA,NA
20190328,NA,NA
20190329,NA,NA
20190330,NA,NA
20190331,NA,NA
20190401,NA,NA
20190402,NA,NA
20190403,NA,NA
20190404,NA,NA
20190405,NA,NA
20190406,NA,NA
20190407,NA,NA
20190408,NA,NA
20190409,NA,NA
20190410,NA,NA
20190411,NA,NA
20190412,NA,NA
20190413,NA,NA
20190414,NA,NA
20190415,NA,NA
20190416,NA,NA
20190417,NA,NA
20190418,NA,NA
20190419,NA,NA
20190420,NA,NA
20190421,NA,NA
20190422,NA,NA
20190423,NA,NA
20190424,NA,NA
20190425,NA,NA
20190426,NA,NA
20190427,NA,NA
20190428,NA,NA
20190429,NA,NA
20190430,NA,NA
20190501,NA,NA
20190502,NA,NA
20190503,NA,NA
20190504,NA,NA
20190505,NA,NA
20190506,NA,NA
20190507,NA,NA
20190508,NA,NA
20190509,NA,NA
20190510,NA,NA
20190511,NA,NA
20190512,NA,NA
20190513,NA,NA
20190514,NA,NA
20190515,NA,NA
20190516,NA,NA
20190517,NA,NA
20190518,NA,NA
20190519,NA,NA
20190520,NA,NA
20190521,NA,NA
20190522,NA,NA
20190523,NA,NA
20190524,NA,NA
20190525,NA,NA
20190526,NA,NA
20190527,NA,NA
20190528,NA,NA
20190529,NA,NA
20190530,NA,NA
20190531,NA,NA
20190601,NA,NA
20190602,NA,NA
20190603,NA,NA
20190604,NA,NA
20190605,NA,NA
20190606,NA,NA
20190607,NA,NA
20190608,NA,NA
20190609,NA,NA
20190610,NA,NA
20190611,NA,NA
20190612,NA,NA
20190613,NA,NA
20190614,NA,NA
20190615,NA,NA
20190616,NA,NA
20190617,NA,NA
20190618,NA,NA
20190619,NA,NA
20190620,NA,NA
20190621,NA,NA
20190622,NA,NA
20190623,NA,NA
20190624,NA,NA
20190625,NA,NA
20190626,NA,NA
20190627,NA,NA
20190628,NA,NA
20190629,NA,NA
20190630,NA,NA
20190701,NA,NA
20190702,NA,NA
20190703,NA,NA
20190704,NA,NA
20190705,NA,NA
20190706,NA,NA
20190707,NA,NA
20190708,NA,NA
20190709,NA,NA
20190710,NA,NA
20190711,NA,NA
20190712,NA,NA
20190713,NA,NA
20190714,NA,NA
20190715,NA,NA
20190716,NA,NA
20190717,NA,NA
20190718,NA,NA
20190719,NA,NA
20190720,NA,NA
20190721,NA,NA
20190722,NA,NA
20190723,NA,NA
20190724,NA,NA
20190725,NA,NA
20190726,NA,NA
20190727,NA,NA
20190728,NA,NA
20190729,NA,NA
20190730,NA,NA
20190731,NA,NA
20190801,NA,NA
20190802,NA,NA
20190803,NA,NA
20190804,NA,NA
20190805,NA,NA
20190806,NA,NA
20190807,NA,NA
20190808,NA,NA
20190809,NA,NA
20190810,NA,NA
20190811,NA,NA
20190812,NA,NA
20190813,NA,NA
20190814,NA,NA
20190815,NA,NA
20190816,NA,NA
20190817,NA,NA
20190818,NA,NA
20190819,NA,NA
20190820,NA,NA
20190821,NA,NA
20190822,NA,NA
20190823,NA,NA
20190824,NA,NA
20190825,NA,NA
20190826,NA,NA
20190827,NA,NA
20190828,NA,NA
20190829,NA,NA
20190830,NA,NA
20190831,NA,NA
20190901,NA,NA
20190902,NA,NA
20190903,NA,NA
20190904,NA,NA
20190905,NA,NA
20190906,NA,NA
20190907,NA,NA
20190908,NA,NA
20190909,NA,NA
20190910,NA,NA
20190911,NA,NA
20190912,NA,NA
20190913,NA,NA
20190914,NA,NA
20190915,NA,NA
20190916,NA,NA
20190917,NA,NA
20190918,NA,NA
20190919,NA,NA
20190920,NA,NA
20190921,NA,NA
20190922,NA,NA
20190923,NA,NA
20190924,NA,NA
20190925,NA,NA
20190926,NA,NA
20190927,NA,NA
20190928,NA,NA
20190929,NA,NA
20190930,NA,NA
20191001,NA,NA
20191002,NA,NA
20191003,NA,NA
20191004,NA,NA
20191005,NA,NA
